"snpId","chrId","positionBp","positionCM","C57BL.6J.Chr1PWD.ForeJ","C57BL.6J.Chr2PWD.ForeJ","C57BL.6J.Chr3PWD.ForeJ","C57BL.6J.Chr4PWD.ForeJ","C57BL.6J.Chr5PWD.ForeJ","C57BL.6J.Chr6PWD.ForeJ","C57BL.6J.Chr7PWD.ForeJ","C57BL.6J.Chr8PWD.ForeJ","C57BL.6J.Chr9PWD.ForeJ","C57BL.6J.Chr10.1PWD.ForeJ","C57BL.6J.Chr10.2PWD.ForeJ","C57BL.6J.Chr10.3PWD.ForeJ","C57BL.6J.Chr11.1PWD.ForeJ","C57BL.6J.Chr11.2PWD.ForeJ","C57BL.6J.Chr11.3PWD.ForeJ","C57BL.6J.Chr12PWD.ForeJ","C57BL.6J.Chr13PWD.ForeJ","C57BL.6J.Chr14PWD.ForeJ","C57BL.6J.Chr16PWD.ForeJ","C57BL.6J.Chr18PWD.ForeJ","C57BL.6J.Chr19PWD.ForeJ","C57BL.6J.ChrX.1PWD.ForeJ","C57BL.6J.ChrX.2PWD.ForeJ","C57BL.6J.ChrX.3PWD.ForeJ","C57BL.6J.ChrYPWD.ForeJ","C57BL.6J.ChrMTPWD.ForeJ","C57BL.6J","PWD","C57BL.6J.Chr15PWD.ForeJ","C57BL.6J.Chr17PWD.ForeJ","mm10positionBp"
"JAX00009010","1",125849735,54.4788,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",123953158
"JAX00009229","1",128773894,55.4789,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",126877317
"JAX00266493","1",131030790,56.4851,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",129134213
"JAX00009660","1",134539232,57.4853,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",132642655
"JAX00009862","1",137225143,58.5187,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",135328566
"JAX00268341","1",137924670,59.5197,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",136028093
"JAX00010044","1",139659484,60.5314,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",137762907
"JAX00269160","1",141386429,61.5366,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",139489852
"JAX00193603","1",145614971,62.5379,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",143767841
"JAX00271017","1",151775786,63.5626,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",149928656
"JAX00011115","1",153960954,64.5808,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",152113824
"JAX00272085","1",155840042,65.5928,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",153992912
"JAX00272332","1",157329949,66.6182,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",155482819
"JAX00011388","1",157595244,67.643,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",155748114
"JAX00011635","1",161015310,68.7618,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",159085179
"JAX00273683","1",163504418,69.8011,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",161574287
"JAX00274088","1",165438585,70.8014,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",163508454
"JAX00012042","1",166432763,71.8195,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",164502632
"JAX00012114","1",167411046,72.8212,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",165480915
"JAX00274764","1",168391124,73.8247,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",166460993
"JAX00012262","1",169375739,74.833,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",167445608
"JAX00275184","1",170069625,75.8827,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",168139494
"JAX00012489","1",172411831,76.8937,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",170481700
"JAX00012524","1",172882400,77.9511,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",170952269
"JAX00012539","1",173076428,79.039,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",171146297
"JAX00012652","1",174593747,80.087,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",172663616
"JAX00276924","1",176972045,81.0992,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",175041914
"JAX00277227","1",178042695,82.1023,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",176112564
"JAX00277708","1",180239743,83.1237,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",178309612
"JAX00278133","1",182061221,84.1288,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",180131090
"JAX00013393","1",184461100,85.1681,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",182530969
"JAX00013431","1",185361405,86.5739,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",183537526
"JAX00278855","1",185576252,87.7715,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",183752373
"JAX00013513","1",186451674,88.7964,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",184627795
"JAX00279375","1",187927910,89.8238,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",186104031
"JAX00279581","1",189123450,90.8533,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",187299571
"JAX00279664","1",189483649,91.874,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",187659770
"JAX00279872","1",190389523,93.0909,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",188565644
"JAX00013865","1",191143780,94.5509,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",189319901
"JAX00280183","1",191871668,95.6514,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",190047789
"JAX00280539","1",193483671,96.6734,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",191659792
"JAX00014159","1",195067972,97.678,"P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",193241778
"JAX00281228","10",3009281,1.8057,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",3289483
"JAX00282301","10",8538154,2.8137,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",8818356
"JAX00015008","10",12249363,3.8239,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",12529565
"JAX00015079","10",13206431,4.8357,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",13486625
"JAX00015254","10",15525213,5.8427,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",15805407
"JAX00283754","10",16955037,6.843,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",17235231
"JAX00194735","10",18411361,7.862,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",18691555
"JAX00284328","10",19486353,8.9084,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",19766547
"JAX00015740","10",22055760,10.0048,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",22335954
"JAX00285139","10",23476750,11.039,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",23756944
"JAX00285350","10",24354260,12.2458,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",24634454
"JAX00016019","10",25812849,13.2619,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",26093043
"JAX00285911","10",26739848,14.2707,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",27020042
"JAX00286179","10",27927239,15.2717,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",28207433
"JAX00016219","10",28481528,16.3932,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",28761722
"JAX00286610","10",31117714,17.3933,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",31397908
"JAX00286882","10",32867726,18.4051,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",33147920
"JAX00287234","10",36563515,19.4052,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",36843709
"JAX00287600","10",39041671,20.4382,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",39321865
"JAX00017060","10",39736478,21.4546,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",40016672
"JAX00017173","10",41247823,22.4711,"B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",41528017
"JAX00288522","10",44870384,23.3346,"B","B","B","B","B","B","B","B","B","P","H","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",45150578
"JAX00017548","10",46244711,24.3501,"B","B","B","B","B","B","B","B","B","P","H","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",46524905
"JAX00017902","10",51104996,25.3789,"B","B","B","B","B","B","B","B","B","P","H","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",51385190
"JAX00289413","10",51681291,26.0816,"B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",51961485
"JAX00018044","10",53049690,27.1068,"B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",53329884
"JAX00018194","10",55044196,28.1076,"B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",55324390
"JAX00195617","10",57037241,29.1077,"B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",57317435
"JAX00290189","10",57326824,29.2137,"B","B","B","B","B","B","B","B","B","H","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",57607018
"JAX00018543","10",59808767,30.2609,"B","B","B","B","B","B","B","B","B","H","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",60346019
"JAX00018565","10",60100456,31.1601,"B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",60637708
"JAX00018606","10",60642844,32.1606,"B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",61180096
"JAX00291027","10",63734519,33.167,"B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",64271771
"JAX00291133","10",64641777,34.168,"B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",65179029
"JAX00291723","10",67640864,35.2028,"B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",68178116
"JAX00019252","10",69276125,36.261,"B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",69813377
"JAX00292650","10",72390170,37.2785,"B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",72927422
"JAX00019531","10",73009296,37.8152,"B","B","B","B","B","B","B","B","B","B","P","H","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",73546548
"JAX00292881","10",73941431,38.2024,"B","B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",74478686
"JAX00293212","10",76031004,39.2223,"B","B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",76568259
"JAX00294003","10",82206993,40.2257,"B","B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",82744248
"JAX00020261","10",82942173,41.2631,"B","B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",83479428
"JAX00294656","10",85658133,42.3596,"B","B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",86195388
"JAX00294841","10",86451830,43.3603,"B","B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",86989085
"JAX00295292","10",88368471,44.3627,"B","B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",88905726
"JAX00295749","10",90203941,45.374,"B","B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",90741196
"JAX00295927","10",91200765,46.4061,"B","B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",91738020
"JAX00020967","10",92334649,47.4394,"B","B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",92871904
"JAX00021012","10",92941989,48.4684,"B","B","B","B","B","B","B","B","B","B","P","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",93479244
"JAX00296611","10",94841899,49.3493,"B","B","B","B","B","B","B","B","B","B","H","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",95379265
"JAX00196440","10",97106839,50.3543,"B","B","B","B","B","B","B","B","B","B","H","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",97644205
"JAX00021501","10",99452832,51.3764,"B","B","B","B","B","B","B","B","B","B","H","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",99990198
"JAX00021598","10",100818242,52.4406,"B","B","B","B","B","B","B","B","B","B","H","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",101355608
"JAX00297384","10",101112553,52.8748,"B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",101649919
"JAX00297574","10",102805221,53.924,"B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",103342587
"JAX00021910","10",104969067,54.9514,"B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B",105532011
